,id,answer,score_me,score_other,score_avg,gpt2_similarity_score
15,1.1,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4.0,5.0,4.5,0.9999673286433844
16,1.1,Program that simulates the behavior of portions of the desired software product,5.0,5.0,5.0,0.9999861689161772
17,1.1,it provides a limited proof of concept to verify with the client before actually programming the whole application. ,2.0,2.0,2.0,0.999976160440282
18,1.1,It tests the main function of the program while leaving out the finer details. ,2.0,2.0,2.0,0.9999563807692349
19,1.1,To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.,3.0,2.0,2.5,0.9999819992721517
20,1.1,it simulates the behavior of portions of the desired software product,5.0,5.0,5.0,0.999986721261576
21,1.1,It simulates the behavior of portions of the desired software product.,5.0,5.0,5.0,0.9999878725023825
22,1.1,A prototype program is used in problem solving to collect data for the problem.,1.0,2.0,1.5,0.9999394499399687
23,1.1,To ease the understanding of problem under discussion and to ease the understanding of the program itself,2.0,3.0,2.5,0.9999892147887111
24,1.1,it simulates the behavior of portions of the desired software product,5.0,5.0,5.0,0.999986721261576
25,1.1,The role of a prototype program is to help spot key problems that may arise during the actual programing. ,2.0,2.0,2.0,0.9999654023689155
26,1.1,"the prototype program gives a general idea of what the end product will do,   without the time and effort to write out the entire program.",4.0,2.0,3.0,0.9999676680861009
27,1.1,to show that a certain part of the program works as it is supposed to,4.0,2.0,3.0,0.9999198580523507
28,1.1,"Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution. ",3.0,2.0,2.5,0.9999833289662658
29,1.2,Refining and possibly the design if the testing phase reveals problems in the design. Production can be affected if the program is unworkable in its current form which will lead to a later production time than originally estimated. Also affects coding because after testing you may need to rewrite the code for the program to remove errors.,5.0,2.0,3.5,0.9999331067437205
30,1.2,The implementation phase and the maintenance phase are effected,3.0,5.0,4.0,0.9999430620324462
31,1.2,"Verification, coding, refining the solution and maintenance are all influenced by the testing stage.",4.0,5.0,4.5,0.9999048511777286
32,1.2,"In RUP the stages in the software life cycle are influenced by the testing stage is:  Elaboration phase- refined progject vision, iterative devilopment of core system, development of system requirements, more accurate time and cost estimates.  Construction phase- iterative development of remaining system.  Transition phase-testing and deployment of the system.",2.0,4.0,3.0,0.9999376778780211
33,1.2,"Refining the solution, Production and Maintenance are all influenced by the Testing stage. ",3.0,3.0,3.0,0.9998874903132637
34,1.2,"Elaboration, Construction, and Transition are all affected by testing",2.0,2.0,2.0,0.9998593394983495
35,1.2,"Refining, Production, Maintenance",3.0,4.0,3.5,0.9998584751948338
36,1.2,Refining the solution,3.0,5.0,4.0,0.9998918301654276
37,1.2,-Verification  -Debugging,3.0,1.0,2.0,0.9996622822088728
38,1.2,Refining and Coding,5.0,5.0,5.0,0.9999031204280616
39,1.2,"The second half of the Elaboration phase, Construction phase, and the Transition phase. ",2.0,3.0,2.5,0.9999231677621856
40,1.2,"The refining step, the production step, and the maintenance stage.  ",3.0,4.0,3.5,0.9999348387348119
41,1.2,"Elaboration, Construction, Transition",2.0,2.0,2.0,0.9998787089922658
42,1.2,Refining.,3.0,3.0,3.0,0.9998491088796714
43,1.2,"The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",2.0,1.0,1.5,0.9999101473662839
44,1.2,"Directly: Refining, coding.  Because Refining is right before the Testing Phase and Coding is right after the Testing Phase.  Indirectly: Production, Maintenance.  Because Refining occurs before these last two stages in the Software Life Cycle.",5.0,5.0,5.0,0.9999096027945068
45,1.2,"Testing, refining, production, and maintenance.",3.0,4.0,3.5,0.9998457831449972
46,1.2,"Depending on how the work is done, Testing is spread throughout the  process as to prevent errors from showing up later on due to lack of foresight. ",2.0,1.0,1.5,0.999924946122479
47,1.2,"Elaboration, construction, and transition.",2.0,3.0,2.5,0.9998716813566282
48,1.2,"All stages are influenced except setting the program requirements.  If a test fails, it can change the whole design, implementation, etc of a program as well as the final outcome.",2.0,1.0,1.5,0.9999177503712364
49,1.2,"Refining, production, and maintenance",3.0,3.0,3.0,0.9999088339398713
50,1.2,coding and refining,5.0,5.0,5.0,0.9999031204280616
51,1.2,"refining, production, maintenance.",3.0,4.0,3.5,0.9999096078823725
52,1.2,"Removing logical errors, testing for valid data, random data and actual data.",2.0,0.0,1.0,0.9999016455411721
53,1.2,1- specification 2- design 3- risk analysis 4- verification 5- coding 6- testing 7- refining 8- production 9- maintenance,1.0,4.0,2.5,0.9998453469546027
54,1.2,"Refining stage, Production stage, and Maintenance stage.  ",3.0,4.0,3.5,0.9999236264007243
55,1.2,Testing could affect all parts of the life cycle; it could make you go back   to specification if it does not test well.,2.0,2.0,2.0,0.9999005649110959
56,1.2,coding,3.0,3.0,3.0,0.9996842919929435
57,1.2,"The Individual components and steps such as  analysis, design, and implementing code  as well as the entire system are tested for execution of the requirements identified during the analysis stage. i.e. Main output ",1.0,2.0,1.5,0.9999246285286041
58,1.3,"Modularability, the ability to reuse parts of the program later in another program sometimes with completely different goals for the program. Also it makes it easier to debug code by dividing up the code into classes that each do a specific job and when the program fails at one job you only have one class to debug. Good for security purposes because it allows you to let someone use a program which sorts lists without having to give them access to the source code. ALso allows you to use inheritance and polymorphism.",4.0,5.0,4.5,0.9999131638295309
59,1.3,"This type of programming is more flexible, making it easier to add and modify the program.  It is also a type of a fail safe program, you check each individual module.  This eliminates redundant code and makes the program easier to read for other programmers.  When debugging the program it is easier to track down the source of a problem within a module rather than a 2 million line program.",5.0,5.0,5.0,0.9999235106562211
60,1.3,The main advantages to object-oriented programming are that existing classes can be reused and program maintenance and verification are easier. ,3.0,4.0,3.5,0.9999645619889596
61,1.3,The advantages is that OOP allows us to build classes of objects.  Three principles that make up OOP are:  Encapsulation- Objects combine data and operations.  Inheritance- Classes can inherit properties from other classes.  Polymorphism- Objects can determine appropriate operations at execution time.,2.0,3.0,2.5,0.9999659006189507
62,1.3,Some advantages are existing classes can be reused and program maintenance and verification are easier to accomplish.,3.0,4.0,3.5,0.9999615140953263
63,1.3,Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,1.0,1.0,1.0,0.9999311455744644
64,1.3,"Reusable components, Extensibility, Maintainability, it reduces large problems into smaller more manageable problems.",4.0,4.0,4.0,0.9999813647930398
65,1.3,Encapsulation-objects combine data and operations Inheritance- classes can inherit properties from other classes Polymorphism- Objects can determine appropriate operations at execution time,2.0,3.0,2.5,0.9999535309631599
66,1.3,-Easier to debugg   -Reusability,3.0,3.0,3.0,0.9999360192500208
67,1.3,Re-usability  and ease of maintenance,3.0,5.0,4.0,0.9999858425550627
68,1.3,"One of the main advantages is you can hide inner details a technique known by encapsulation. Objects combine the data and operations but you cannot see how it works.   Another advantage is you can reuse classes that have been defined earlier in the program, a method known as inheritance.   Finally another advantage is objects can determine appropriate operations at execution time a technique known as polymorphism. ",5.0,5.0,5.0,0.9999537840610615
69,1.3,"Existing classes can be reused, and program maintenance and verification are easier.",3.0,4.0,3.5,0.9999747922400463
70,1.3,Using different modules allows for easier debugging,2.0,2.0,2.0,0.9999394734848599
71,1.3,"Data encapsulation concept,the use of functions or methods to manipulate data.",3.0,4.0,3.5,0.9999535868282479
72,1.3,"Modular, reusable code, allowing faster deployment of solutions, and a more general view of a solution.",5.0,4.0,4.5,0.9999823667812673
73,1.3,"Coding and Debugging programs are usually easier, as either the compiler will specify the object that is working incorrectly, or the function an object was assigned to will be easier to identify.  The code itself also looks more organized and is easier to read and will help to avoid redundant coding.  Post-programming maintenance is also easier.  Also, modules can be reused several times in other programs without too much hassle.   Abstraction is the art of breaking down one big problem into smaller, simpler problems and solving them.  Many of the smaller problems are shared between unique complex problems, and creating modules to these solve these smaller repeated problems can save time when you encounter them again.",5.0,5.0,5.0,0.9999564598208951
74,1.3,"Variables can remain private. The code is easily modified and reusable, as well as easily implemented. Not to mention easier to read and follow along as an observer.",4.0,5.0,4.5,0.9999751564010394
75,1.3,Data Abstraction and control... it is possible to isolate elements from other elements a lot easier and prevent tampering of data. ,3.0,4.0,3.5,0.9999734851594706
76,1.3,Encapsulation - Objects use operations without knowing how the operation works. Inheritance - cuts redundancy by reusing earlier classes. Polymorphism - objects select the correct operation to use in the situation.,5.0,3.0,4.0,0.999968428963128
77,1.3,"They make it easier to reuse and adapt previously written code and they separate complex programs into smaller, easier to understand classes.",5.0,4.0,4.5,0.9999624731047294
78,1.3,"Existing classes can be reused, Program maintenance and verification are easier ",3.0,4.0,3.5,0.999975713910533
79,1.3,"Existing classes can be feused, Program maintenance and verification are easier",3.0,4.0,3.5,0.999975713910533
80,1.3,"the main advantages to object-oriented programming  is data abstraction, easier maintenance, and re-usability.",5.0,5.0,5.0,0.9999839819189498
81,1.3,Existing classes can be reused Program maintenance and verifications are easy,3.0,5.0,4.0,0.9999641955446444
82,1.3,1- Existing classes can be reused 2- Program maintenance and verification are easier  ,3.0,4.0,3.5,0.9999653998680212
83,1.3,Information can be hidden. It is easier to debug. Programming is easier and more manageable. ,3.0,4.0,3.5,0.9999605365070605
84,1.3,"Existing classes can be reused, program maintenance and verification are   easier.",3.0,4.0,3.5,0.9999771773406659
85,1.3,existing classes can be reused program maintenance and verification are easier,3.0,4.0,3.5,0.9999558737416104
86,1.3,"Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class. ",3.0,4.0,3.5,0.9999422484065154
87,1.4,At function â€˜int main ()â€™,5.0,5.0,5.0,0.9998501209835081
88,1.4,the Function main().,5.0,5.0,5.0,0.9999059161815159
89,1.4,c++ programs begin to execute in the main method.,5.0,5.0,5.0,0.999877901535515
90,1.4,A C++ program will begin to execute at the main() function. ,5.0,5.0,5.0,0.9998908957994613
91,1.4,They begin in the main() function.,5.0,5.0,5.0,0.9999124619308609
92,1.4,Int main(),5.0,5.0,5.0,0.9998525420123348
93,1.4,main method,5.0,5.0,5.0,0.9999173695438195
94,1.4,in the testing phase,0.0,0.0,0.0,0.9999194268836773
95,1.4,-At the MAIN function,5.0,5.0,5.0,0.9998190743310216
96,1.4,main,5.0,5.0,5.0,0.9998078415186732
97,1.4, They begin to execute at the funcion main().,5.0,5.0,5.0,0.9998842601221727
98,1.4,The main method.,5.0,5.0,5.0,0.9999572510703542
99,1.4,At the root,0.0,5.0,2.5,0.9999545716044335
100,1.4,In the main() function.,5.0,5.0,5.0,0.9999581272294694
101,1.4,C++ programs begin execution at main.,5.0,5.0,5.0,0.9997644275614267
102,1.4,In the Main function..?,5.0,5.0,5.0,0.999886403628427
103,1.4,"At the ""main()"" function",5.0,5.0,5.0,0.9999197578858329
104,1.4,The main function.,5.0,5.0,5.0,0.9999594721658649
105,1.4,The function main,5.0,5.0,5.0,0.9999020016585951
106,1.4,"After loading the required include statements and libraries, the main method begins the execution.",5.0,5.0,5.0,0.9998996386653402
107,1.4,main function,5.0,5.0,5.0,0.9998980872529175
108,1.4,main,5.0,5.0,5.0,0.9998078415186732
109,1.4,C++ programs begin execution at the main function.,5.0,5.0,5.0,0.9997934255929422
110,1.4,At main,5.0,5.0,5.0,0.9999151454592711
111,1.4,they beging to excute at main,5.0,5.0,5.0,0.9998676598353934
112,1.4,at the main function  int main() {},5.0,5.0,5.0,0.9999401606669192
113,1.4,C++ programs begin execution at the main function.,5.0,5.0,5.0,0.9997934255929422
114,1.4,"in the ""main"" function",5.0,5.0,5.0,0.9998972075146512
115,1.4,Within the main function,5.0,5.0,5.0,0.9999563312200458
116,1.5,Variable can be a integer or a string in a program.,1.0,3.0,2.0,0.9999499179209703
117,1.5,"In programming, a structure that holds data and is uniquely named by the programmer. It holds the data assigned to it until a new value is assigned or the program is finished. ",4.0,5.0,4.5,0.9999369943758933
118,1.5,A variable is a location in memory where a value can be stored.,5.0,5.0,5.0,0.999983066390066
119,1.5," Variable is a location in the computer's memory, in which a value can be stored and later can retrieve that value.",5.0,5.0,5.0,0.9999808216565966
120,1.5,"A variable is a location in the computer's memory where a value can be stored for use by a program. Each variable has a name, a value, a type and a size.",5.0,5.0,5.0,0.9999690299208094
121,1.5,A named object that can hold a numerical or letter value,2.0,5.0,3.5,0.9999658732611477
122,1.5,"It's a sybol or name for a value/number. Example: 'a_used_number' can stand for any given number, and the programmer can refer to that number by using the variable name.",3.0,5.0,4.0,0.999941808581124
123,1.5,A variable is a location in the computers memory where a value can be stored for use by a program,5.0,5.0,5.0,0.9999722489463265
124,1.5, -An identifier that holds a location in memory.,3.0,5.0,4.0,0.9999361015195817
125,1.5,a block of memory that holds a specific type of data,5.0,5.0,5.0,0.9999725057832495
126,1.5,  It is a location in the computer's memory where it can be stored for use by a program.,5.0,5.0,5.0,0.9999655878294943
127,1.5,A location in memory where value can be stored.,5.0,5.0,5.0,0.9999794903645446
128,1.5,a value/word that can assume any of a set of values,3.0,3.0,3.0,0.9999330854363376
129,1.5,A pointer to a location in memory.,3.0,5.0,4.0,0.9999503653145609
130,1.5,"A variable is the memory address for a specific type of stored data, or from a mathematical perspective, a symbol representing a fixed definition with changing values.",5.0,5.0,5.0,0.9999653114390293
131,1.5,A variable is a value that is subject to change in a computer's memory that can be used by programs.  Programs can change the value of the variable and recall it later or act on it directly.,5.0,5.0,5.0,0.999946051868443
132,1.5,a symbol that stands in for a value that may or may not change depending on the program. ,3.0,5.0,4.0,0.999943565113542
133,1.5,"a placeholder to hold information used in the program... for example: int can hold: 1, 2, 3, 4, 68, 72, 256, etc. float can hold: 1.54, 55.55, 1.24, 5.657, 8.8123, et. char can hold: A, B, C, D, E, F, !, 4, 5, 6, P, etc. ",4.0,5.0,4.5,0.999943053315189
134,1.5,a stored value used by the program,4.0,5.0,4.5,0.9999455500905695
135,1.5,"A way to store different values into the program, such as numbers, words, letters, etc.",4.0,5.0,4.5,0.9999524008954195
136,1.5,An object with a location in memory where value can be stored ,2.0,5.0,3.5,0.9999734450916289
137,1.5,location in memory where a value can be stored,5.0,5.0,5.0,0.9999756066855935
138,1.5,a variable is an object where data is stored.,2.0,5.0,3.5,0.9999702831381827
139,1.5,Location in memory where a value can be stored.,5.0,5.0,5.0,0.9999835870217333
140,1.5,it is a location in memory where value can be stored ,5.0,5.0,5.0,0.9999752233503832
141,1.5,A variable is the location in a computer's memory where a value can be stored for use by a program.,5.0,5.0,5.0,0.9999805570056224
142,1.5,A variable is a location in a computers memory where a value can be stored   for use by a program.,5.0,5.0,5.0,0.9999756334423242
143,1.5,a location in memory where data can be stored and retrieved,5.0,5.0,5.0,0.999963636647732
144,1.5,"Is a method or identifier I would say,  we use to bind a data object to memory location; which is then stored in a location that can be accessed when and manipulated later when the variable name is called. ",5.0,5.0,5.0,0.9999673448701644
145,1.6,"They can be declared right before they are used, but it is a good practice to declare them at the beginning of the program and label what they are food.",1.0,3.0,2.0,0.9999541148246319
146,1.6,In the Function main() before using the variable.,1.0,5.0,3.0,0.9998430987245774
147,1.6,"Local variables are declared inside the method or function they will be used in at the beginning of the method. Global variables are declared outside of any function or method, generally before functions are defined.",5.0,5.0,5.0,0.9999800778791665
148,1.6,Variables are declared where ever it is defined either inside a block locally or outside a block globally.,4.0,5.0,4.5,0.9999763562390275
149,1.6,Variables are declared before they are actually used. They can be declared before main() to use globally,3.0,5.0,4.0,0.9999720599937078
150,1.6,"For good programing practice they should be declared before main(), but should at least be declared before they are used.",2.0,3.0,2.5,0.9999732609587756
151,1.6,"They can be declared globally just before the main method (but also outside of it)... or variables can be subject to only the method they're scoped within, but would still be declared at the beginning of that method (but inside of it).",5.0,5.0,5.0,0.9999720655002142
152,1.6,local variables are declared inside the method while global variables are declared in the body.,5.0,5.0,5.0,0.9999780408443246
153,1.6, -Any where in the main function.,1.0,3.0,2.0,0.9999030454861101
154,1.6,"Globally for an entire program, and locally for individual functions (including FOR statements)",4.0,5.0,4.5,0.9999795249379243
155,1.6, They are usually declared at the beginning before they can be used in the program. They always contain a name and a data type. ,2.0,4.0,3.0,0.9999614133286697
156,1.6,Inside the method.,2.0,3.0,2.5,0.9998486521885921
157,1.6,at the top,1.0,2.0,1.5,0.9998117927110386
158,1.6,Global variables are declared in the body of the code. Local variables are declared in the function they are to be used (unless the function is being passed a variable). Variables should always be declared before use.,5.0,5.0,5.0,0.9999845074779543
159,1.6,Variables are usually declared at the beginning of a module of C++ code.,2.0,3.0,2.5,0.9999870421888791
160,1.6,"In the main function, usually at the top of code.  They can be declared almost anywhere, but must be declared before the code can use or act upon them.",3.0,4.0,3.5,0.9999601797430643
161,1.6,in the very beginning of the program. Before the main() starts. ,1.0,3.0,2.0,0.9999774521214045
162,1.6,"In the declaration of Functions, for statements, and while statements. in the body of If, For, while, do while, statements, in namespaces, headers, etc  ( almost anywhere. ) anywhere in the program, as long as it is on it's own line.",2.0,3.0,2.5,0.9999683645983611
163,1.6,After declaration of the variable's data type.,1.0,1.0,1.0,0.9999274175569612
164,1.6,"anywhere in the code, can be at the top, or in the middle of the code, or anywhere.",3.0,3.0,3.0,0.9999362594186464
165,1.6,Before they are used.,2.0,2.0,2.0,0.9999095750506947
166,1.6,Anywhere in the same scope before they are used,3.0,4.0,3.5,0.9999233401638141
167,1.6,variables can be declared in classes and methods.,1.0,4.0,2.5,0.9999880408368106
168,1.6,inside the function scope and outside of the function scope in case of global variables,5.0,5.0,5.0,0.9998095955351554
169,1.6,global variables are declared in the main function local variables are declared in any other function,3.0,5.0,4.0,0.9999823518051637
170,1.6,"Variables are usually declared at the very beginning of a C++ program, but can be declared any in the program as long as they appear before they are called upon.",4.0,4.0,4.0,0.9999649483543048
171,1.6,"Variables are declared in the main function, before any operation is   attempted with the variables.",1.0,3.0,2.0,0.9999842268880484
172,1.6,"anywhere, but where you declare them depends on where you want them to be accessible (their scope)",4.0,5.0,4.5,0.9999574303013159
173,1.6,It depends if itâ€™s a global then they have to be declared out side the source code to be used in every scope however a local variable is one declared in a local function etc. which obviously doesnâ€™t need to be declared outside the variable seeing how it is used for the function or block its being called for. ,4.0,5.0,4.5,0.9999672052235787
174,1.7,"""The â€œdoâ€ statement first evaluates the condition and then executes the lines of code in the statement 0 or more times. 	The â€œdo whileâ€ statement executes the lines of code and then it evaluates the condition. """,4.0,5.0,4.5,0.9998794649952166
175,1.7,do...while statements evaluate whether or not to loop after running the block contained within it at least once. So the main differance is that while statements have a possibility of never being used. Do ... while statements on the other hand are always run at least once before evaluating whether to run again.,5.0,5.0,5.0,0.9999669387635721
176,1.7,"The main difference between a while and a do...while loop is that the do...while loop always cycles through the loop at least once, but the while loop does not always do so.",5.0,5.0,5.0,0.9999388667984953
177,1.7,While loop used to execute a block of code as long as some condition is true.  A do...while loop used to execute a block of code as long as some condition is satisfied.  The difference between while and do...while is while loop tests its condition before the execution of its contents and the do...while loop tests its condition after the execution of its contents at least once.,5.0,5.0,5.0,0.9999459560633458
178,1.7,"The termination condition of a do...while statement is usually at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",5.0,5.0,5.0,0.9999284853822691
179,1.7,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,5.0,5.0,5.0,0.9999194230819046
180,1.7,"A while statement will test the condition of the while loop FIRST - there is a chance the loop will never run. A do...while loop will ALWAYS run once, and then the while test will determine if it will run again.",5.0,5.0,5.0,0.999958236675009
181,1.7,a do while loop always executes once. A while loop's conditional statement has to be true for it to run.,5.0,5.0,5.0,0.9999794605332741
182,1.7,"-WHILE statement --The condition is checked for validity, then is repeated until the conditon is false.    -Do...WHILE statement--The code is performed at least once then checked for valid condition.  Will continue to                             ",5.0,5.0,5.0,0.99995151963189
183,1.7,"while statements will evaluate the statement BEFORE executing a cycle of the loop, including the first cycle, meaning that a while loop will not always execute. A do...while will run evaluate the statement AFTER running through a cycle of the loop, ensuring that the loop always executes at least one time.",5.0,5.0,5.0,0.9999168992648734
184,1.7,  The main difference between a do and a do...while statement is in a do...while statement is the statements in a do block are always executed atleast once.   The while statement will only execute if its condition is true.,5.0,5.0,5.0,0.9999721379817802
185,1.7,The loop of a do...while statement always executes once.,4.0,5.0,4.5,0.9999827967927827
186,1.7,"a while statement will only process if the statement is met, while a do...while will always process once, then only continue if the statement is met.",5.0,5.0,5.0,0.9998289379951807
187,1.7,"Do ...while runs the embedded code at least once, the do command does not necessarily",4.0,4.0,4.0,0.9999695148577328
188,1.7,"While tests for true first before running, do...while runs once first before checking.",5.0,5.0,5.0,0.9999281486832696
189,1.7,A do...while statement's body always executes at least once.  Where as a while statement will not execute at all unless the condition for the while is true.,5.0,5.0,5.0,0.9999706468517426
190,1.7,The statements within the block of the do while loop will always be executed at least once regardless of the conditions. Whereas the while loops may never be executed if the conditions are not met. ,5.0,5.0,5.0,0.9999369381042433
191,1.7,"a do... while loop will always run through once, while an while loop performs a test before running through the loop.",5.0,5.0,5.0,0.9999688053118075
192,1.7,A while statement tests the condition before it can start. A do...while statement loops through once before the condition is tested.,5.0,5.0,5.0,0.9999530438571611
193,1.7,"A while loop terminates at the beginning of the loop, a do/while terminates at the end of the loop.",3.0,4.0,3.5,0.9999174480681948
194,1.7,the loop body always executes at least once ,3.0,4.0,3.5,0.9999552736382614
195,1.7,"While loop evaluates its expression at the top of its loop and decides if it needs to execute, and the do-while always executes at least once and then evaluates its expression at the bottom of its loop.",5.0,5.0,5.0,0.9998479986583533
196,1.7,"A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",5.0,5.0,5.0,0.999950133709697
197,1.7,"A do-while passes atleast 1 time before checking the condition, however, a while would fail to enter the loop if the condition fails in its first place.",5.0,5.0,5.0,0.9999622772526834
198,1.7,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement before it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",5.0,5.0,5.0,0.9999152373783478
199,1.7,NO ANSWER,0.0,0.0,0.0,0.9997224460114088
200,1.7,"A do...while loop will always execute atleast once, a while loop may never   execute depending on teh conditions.",5.0,5.0,5.0,0.9999763595593193
201,1.7,"a while loop is pre-check (it checks the condition statement before it executes the code within the while block)  a do while loop is post-check (it checks the condition AFTER the block executes, it runs at least once no matter what the condition statement is)",5.0,5.0,5.0,0.9999498356673755
202,1.7,"))     What is the main difference between a while and a do...while statement? The do while construct consists of a block of code and a condition. First, the code within the block is executed, and then the condition is evaluated, this is done until it is proven false. The difference between the While loop is it tests the condition before the code within the block is executed. ",5.0,5.0,5.0,0.9999669017462783
203,2.1,"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition.",1.0,3.0,2.0,0.9999364713807838
204,2.1,The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.,4.0,4.0,4.0,0.9999279604599612
205,2.1,Information telling the compiler what data members and member functions belong to the class.,5.0,5.0,5.0,0.9999606316700801
206,2.1,"Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). ",5.0,5.0,5.0,0.9999680149494574
207,2.1,An object and data.,1.0,3.0,2.0,0.9998897378185236
208,2.1,"It's specific class name, includes only information defined by that class... implementation details... etc.",2.0,4.0,3.0,0.9998877826277828
209,2.1,data members and member functions.,5.0,5.0,5.0,0.9999631419805635
210,2.1,A class definition usually contains the function and its data members,5.0,5.0,5.0,0.9999297755773021
211,2.1,Data members and member functions,5.0,5.0,5.0,0.9999606284861517
212,2.1,member functions,3.0,4.0,3.5,0.9998686505173409
213,2.1,Member functions and data members belonging to the class.,5.0,5.0,5.0,0.9999705939035535
214,2.1,a public and private area that includes the functions and variables that are used in the class,5.0,4.0,4.5,0.9999262784087181
215,2.1,"the keyword class followed by they class name, on the inside you declare public and private declarations of your class",3.0,4.0,3.5,0.9999682634259848
216,2.1,A class definition typically includes function definitions.,3.0,3.0,3.0,0.9999599907227867
217,2.1,"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition.",5.0,5.0,5.0,0.9999703816403888
218,2.1,the data and methods ,5.0,4.0,4.5,0.9999249244495125
219,2.1,"A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done.",5.0,4.0,4.5,0.9999355915360473
220,2.1,Member functions and data members.,5.0,5.0,5.0,0.9999129336348552
221,2.1,"public section and private section, and there must be a semicolon to set the end",1.0,4.0,2.5,0.9998764132392594
222,2.1,member funtions and data members,5.0,5.0,5.0,0.9999606907664668
223,2.1,Data members and Member functions,5.0,5.0,5.0,0.9999545199996182
224,2.1,data members and member functions,5.0,5.0,5.0,0.9999374548453558
225,2.1,"the class name and its public data types such as constructors, methods, functions.",2.0,5.0,3.5,0.9999507622285955
226,2.1,"a constructor and several data members, and at least one public data member or method",4.0,5.0,4.5,0.9999536037858808
227,2.1,"class name, two curly prenthesis, public and private",1.0,3.0,2.0,0.9999681388110482
228,2.1,data members and member functions,5.0,5.0,5.0,0.9999374548453558
229,2.1,Data and functions,5.0,4.0,4.5,0.9998886131539859
230,2.1,functions and data members that belong to the class,5.0,5.0,5.0,0.9999469750077209
231,2.1,"class variables, function definitions for the class",5.0,5.0,5.0,0.999967800491577
232,2.1,"A class is an expanded concept of a data structure, it holds both the data and the functions being executed ",5.0,4.0,4.5,0.9999552417599825
233,2.2, Data members are the data components of a particular class.  A member function are the functioning components of the class.,1.0,5.0,3.0,0.9999690193762575
234,2.2, A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.,1.0,4.0,2.5,0.9999658216326612
